198.41.154.86:443  # 延迟: 388ms
202.78.174.105:443  # 延迟: 535ms
217.195.194.161:443  # 延迟: 547ms
197.234.240.87:443  # 延迟: 561ms
194.99.80.170:443  # 延迟: 571ms
216.201.73.120:443  # 延迟: 577ms
216.163.179.88:443  # 延迟: 580ms
197.234.240.145:443  # 延迟: 585ms
199.255.96.158:443  # 延迟: 597ms
197.234.240.237:443  # 延迟: 605ms
213.156.159.107:443  # 延迟: 3853ms
199.255.99.86:443  # 延迟: 4385ms
198.57.45.96:443  # 延迟: 5086ms
199.255.98.186:443  # 延迟: 5530ms
206.168.148.25:443  # 延迟: 7234ms
206.168.151.169:443  # 延迟: 7695ms
204.13.153.240:443  # 延迟: 7791ms
197.234.240.134:443  # 延迟: 9868ms
197.234.241.247:443  # 延迟: 15907ms
199.115.75.107:443  # 延迟: 15998ms
199.255.99.253:443  # 延迟: 18447ms
197.234.242.68:443  # 延迟: 19146ms
198.57.45.10:443  # 延迟: 20886ms
197.234.241.142:443  # 延迟: 22731ms
197.234.243.252:443  # 延迟: 23147ms
206.168.148.143:443  # 延迟: 24442ms
193.57.89.194:443  # 延迟: 25298ms
206.168.151.70:443  # 延迟: 30593ms
199.255.97.161:443  # 延迟: 33865ms
217.180.22.55:443  # 延迟: 37998ms
