96.47.166.128:443  # 延迟: 374ms
47.246.44.182:443  # 延迟: 391ms
82.117.226.235:443  # 延迟: 398ms
8.46.115.69:443  # 延迟: 403ms
92.223.66.185:443  # 延迟: 409ms
66.154.127.231:443  # 延迟: 410ms
104.18.151.166:443  # 延迟: 417ms
8.14.204.32:443  # 延迟: 430ms
5.188.92.174:443  # 延迟: 430ms
103.22.203.230:443  # 延迟: 432ms
43.102.156.164:443  # 延迟: 437ms
104.19.213.148:443  # 延迟: 449ms
103.21.244.252:443  # 延迟: 490ms
104.29.186.69:443  # 延迟: 493ms
66.103.208.138:443  # 延迟: 515ms
8.42.51.16:443  # 延迟: 522ms
66.103.218.253:443  # 延迟: 523ms
66.154.126.13:443  # 延迟: 527ms
104.20.243.39:443  # 延迟: 536ms
104.30.33.211:443  # 延迟: 538ms
109.61.32.2:443  # 延迟: 539ms
104.27.81.153:443  # 延迟: 540ms
96.47.166.242:443  # 延迟: 542ms
108.162.199.200:443  # 延迟: 543ms
47.89.66.136:443  # 延迟: 544ms
116.0.89.140:443  # 延迟: 547ms
74.48.206.49:443  # 延迟: 548ms
108.162.201.63:443  # 延迟: 549ms
198.217.251.107:443  # 延迟: 551ms
92.223.68.174:443  # 延迟: 552ms
104.27.54.239:443  # 延迟: 552ms
104.17.154.2:443  # 延迟: 555ms
74.48.199.230:443  # 延迟: 556ms
103.31.6.133:443  # 延迟: 557ms
104.19.182.92:443  # 延迟: 558ms
45.10.59.106:443  # 延迟: 559ms
47.246.41.30:443  # 延迟: 560ms
104.24.31.4:443  # 延迟: 561ms
8.148.41.24:443  # 延迟: 562ms
8.40.107.184:443  # 延迟: 563ms
108.162.220.40:443  # 延迟: 563ms
85.234.83.34:443  # 延迟: 564ms
104.24.111.129:443  # 延迟: 564ms
47.246.4.210:443  # 延迟: 565ms
80.240.104.89:443  # 延迟: 565ms
104.16.43.248:443  # 延迟: 566ms
104.16.45.154:443  # 延迟: 566ms
93.123.11.108:443  # 延迟: 567ms
45.197.113.180:443  # 延迟: 569ms
64.112.41.218:443  # 延迟: 569ms
43.102.131.138:443  # 延迟: 573ms
104.21.84.248:443  # 延迟: 573ms
96.47.166.45:443  # 延迟: 574ms
104.16.36.147:443  # 延迟: 574ms
8.48.85.181:443  # 延迟: 575ms
87.120.252.237:443  # 延迟: 575ms
103.31.7.70:443  # 延迟: 575ms
47.246.57.91:443  # 延迟: 576ms
108.162.192.17:443  # 延迟: 576ms
79.133.126.22:443  # 延迟: 577ms
5.8.68.237:443  # 延迟: 583ms
108.162.213.213:443  # 延迟: 583ms
103.31.7.172:443  # 延迟: 583ms
86.105.169.161:443  # 延迟: 585ms
5.189.200.41:443  # 延迟: 586ms
104.24.196.190:443  # 延迟: 586ms
104.16.3.11:443  # 延迟: 587ms
8.23.139.102:443  # 延迟: 588ms
103.31.7.102:443  # 延迟: 588ms
8.39.204.24:443  # 延迟: 589ms
96.43.101.165:443  # 延迟: 589ms
104.20.64.243:443  # 延迟: 589ms
5.188.120.222:443  # 延迟: 590ms
103.22.203.89:443  # 延迟: 591ms
104.27.193.255:443  # 延迟: 592ms
85.234.80.93:443  # 延迟: 593ms
80.93.221.179:443  # 延迟: 594ms
74.48.147.8:443  # 延迟: 595ms
92.223.0.179:443  # 延迟: 595ms
104.27.162.77:443  # 延迟: 596ms
108.162.229.220:443  # 延迟: 596ms
104.17.209.62:443  # 延迟: 597ms
108.162.242.72:443  # 延迟: 597ms
5.226.183.28:443  # 延迟: 602ms
104.18.61.187:443  # 延迟: 603ms
43.102.138.53:443  # 延迟: 604ms
31.184.207.19:443  # 延迟: 604ms
92.223.74.28:443  # 延迟: 604ms
47.89.66.206:443  # 延迟: 608ms
8.35.59.71:443  # 延迟: 611ms
8.148.43.191:443  # 延迟: 611ms
47.246.20.50:443  # 延迟: 616ms
104.26.122.30:443  # 延迟: 621ms
108.162.227.245:443  # 延迟: 626ms
103.31.6.119:443  # 延迟: 630ms
66.154.98.141:443  # 延迟: 631ms
104.19.90.188:443  # 延迟: 632ms
108.162.230.110:443  # 延迟: 634ms
104.17.193.253:443  # 延迟: 636ms
45.65.8.135:443  # 延迟: 640ms
8.46.113.83:443  # 延迟: 642ms
104.17.5.250:443  # 延迟: 651ms
5.188.189.43:443  # 延迟: 661ms
8.10.148.112:443  # 延迟: 689ms
64.112.40.23:443  # 延迟: 719ms
104.20.222.11:443  # 延迟: 726ms
38.106.52.196:443  # 延迟: 782ms
93.114.68.36:443  # 延迟: 825ms
104.16.29.37:443  # 延迟: 906ms
104.16.36.99:443  # 延迟: 1276ms
104.27.154.54:443  # 延迟: 1276ms
104.18.167.216:443  # 延迟: 1383ms
5.189.202.2:443  # 延迟: 2465ms
104.19.155.149:443  # 延迟: 4011ms
104.24.240.103:443  # 延迟: 4057ms
91.199.84.36:443  # 延迟: 4074ms
45.204.49.192:443  # 延迟: 4092ms
103.31.6.115:443  # 延迟: 4111ms
5.188.123.224:443  # 延迟: 4114ms
108.162.253.64:443  # 延迟: 4130ms
103.31.5.204:443  # 延迟: 4202ms
39.97.206.95:443  # 延迟: 4236ms
104.19.177.240:443  # 延迟: 4256ms
5.8.68.179:443  # 延迟: 4263ms
37.61.231.176:443  # 延迟: 4278ms
104.19.47.181:443  # 延迟: 4334ms
104.16.57.187:443  # 延迟: 4345ms
8.27.64.48:443  # 延迟: 4390ms
92.223.98.231:443  # 延迟: 4397ms
104.20.61.19:443  # 延迟: 4438ms
45.135.231.194:443  # 延迟: 4502ms
47.246.8.248:443  # 延迟: 4598ms
104.19.63.124:443  # 延迟: 4601ms
109.61.46.4:443  # 延迟: 4637ms
104.24.52.160:443  # 延迟: 4654ms
47.246.23.207:443  # 延迟: 4766ms
62.112.223.125:443  # 延迟: 4811ms
104.18.65.95:443  # 延迟: 4817ms
82.117.225.49:443  # 延迟: 4832ms
103.31.5.32:443  # 延迟: 4844ms
92.223.28.71:443  # 延迟: 4914ms
47.89.91.121:443  # 延迟: 4917ms
104.18.103.203:443  # 延迟: 4939ms
104.29.74.129:443  # 延迟: 4993ms
38.106.52.30:443  # 延迟: 5069ms
23.236.79.169:443  # 延迟: 5092ms
5.8.25.204:443  # 延迟: 5101ms
104.16.120.88:443  # 延迟: 5156ms
92.223.12.11:443  # 延迟: 5161ms
103.21.247.240:443  # 延迟: 5186ms
103.21.246.184:443  # 延迟: 5196ms
104.26.81.192:443  # 延迟: 5204ms
47.246.0.248:443  # 延迟: 5292ms
104.16.11.107:443  # 延迟: 5361ms
45.204.36.209:443  # 延迟: 5407ms
104.22.94.197:443  # 延迟: 5653ms
47.246.7.224:443  # 延迟: 5674ms
23.236.72.57:443  # 延迟: 5686ms
69.90.210.167:443  # 延迟: 5702ms
104.20.141.203:443  # 延迟: 5767ms
103.21.245.136:443  # 延迟: 6148ms
45.203.52.85:443  # 延迟: 7375ms
86.105.169.71:443  # 延迟: 7405ms
8.23.240.107:443  # 延迟: 7418ms
5.8.94.216:443  # 延迟: 7806ms
109.61.18.36:443  # 延迟: 7909ms
103.31.5.96:443  # 延迟: 7922ms
103.21.245.0:443  # 延迟: 8226ms
47.89.121.2:443  # 延迟: 8259ms
104.29.48.41:443  # 延迟: 8450ms
8.43.121.112:443  # 延迟: 8580ms
103.21.246.112:443  # 延迟: 8582ms
66.154.127.3:443  # 延迟: 8595ms
8.6.146.64:443  # 延迟: 8640ms
104.17.39.172:443  # 延迟: 8893ms
103.31.5.23:443  # 延迟: 9114ms
104.27.76.49:443  # 延迟: 9176ms
103.22.201.188:443  # 延迟: 9315ms
92.223.28.169:443  # 延迟: 9493ms
104.29.102.139:443  # 延迟: 9552ms
103.21.246.149:443  # 延迟: 9638ms
92.223.83.23:443  # 延迟: 9663ms
5.188.134.47:443  # 延迟: 9693ms
104.19.231.200:443  # 延迟: 9837ms
92.223.101.234:443  # 延迟: 9980ms
5.8.25.182:443  # 延迟: 9993ms
103.22.200.192:443  # 延迟: 10033ms
109.61.42.8:443  # 延迟: 10172ms
104.16.25.178:443  # 延迟: 10228ms
104.27.21.163:443  # 延迟: 10237ms
95.85.74.78:443  # 延迟: 10275ms
8.47.69.199:443  # 延迟: 10441ms
